# ell TT TE EE BB
92 2.380126e-01 -1.729534e-03 6.350979e-05 2.649888e-07
93 2.357182e-01 -1.753332e-03 6.362579e-05 2.650610e-07
94 2.334879e-01 -1.776217e-03 6.371966e-05 2.651335e-07
95 2.313192e-01 -1.798181e-03 6.379137e-05 2.652067e-07
96 2.292098e-01 -1.819214e-03 6.384090e-05 2.652812e-07
97 2.271573e-01 -1.839306e-03 6.386823e-05 2.653572e-07
98 2.251595e-01 -1.858449e-03 6.387333e-05 2.654354e-07
99 2.232139e-01 -1.876633e-03 6.385618e-05 2.655162e-07
100 2.213182e-01 -1.893849e-03 6.381676e-05 2.655999e-07
101 2.194701e-01 -1.910086e-03 6.375505e-05 2.656872e-07
102 2.176671e-01 -1.925337e-03 6.367102e-05 2.657784e-07
103 2.159070e-01 -1.939592e-03 6.356466e-05 2.658740e-07
104 2.141875e-01 -1.952844e-03 6.343599e-05 2.659744e-07
105 2.125072e-01 -1.965105e-03 6.328531e-05 2.660796e-07
106 2.108647e-01 -1.976386e-03 6.311298e-05 2.661898e-07
107 2.092586e-01 -1.986700e-03 6.291933e-05 2.663047e-07
108 2.076876e-01 -1.996062e-03 6.270474e-05 2.664246e-07
109 2.061503e-01 -2.004484e-03 6.246954e-05 2.665494e-07
110 2.046455e-01 -2.011980e-03 6.221410e-05 2.666790e-07
111 2.031717e-01 -2.018562e-03 6.193876e-05 2.668135e-07
112 2.017276e-01 -2.024244e-03 6.164387e-05 2.669530e-07
113 2.003119e-01 -2.029039e-03 6.132979e-05 2.670973e-07
114 1.989232e-01 -2.032960e-03 6.099687e-05 2.672465e-07
115 1.975602e-01 -2.036020e-03 6.064546e-05 2.674007e-07
116 1.962216e-01 -2.038232e-03 6.027593e-05 2.675598e-07
117 1.949064e-01 -2.039606e-03 5.988870e-05 2.677238e-07
118 1.936139e-01 -2.040149e-03 5.948418e-05 2.678927e-07
119 1.923431e-01 -2.039872e-03 5.906282e-05 2.680665e-07
120 1.910931e-01 -2.038783e-03 5.862505e-05 2.682453e-07
121 1.898632e-01 -2.036891e-03 5.817129e-05 2.684291e-07
122 1.886525e-01 -2.034204e-03 5.770197e-05 2.686178e-07
123 1.874600e-01 -2.030732e-03 5.721753e-05 2.688115e-07
124 1.862850e-01 -2.026484e-03 5.671839e-05 2.690102e-07
125 1.851266e-01 -2.021468e-03 5.620499e-05 2.692138e-07
126 1.839838e-01 -2.015693e-03 5.567775e-05 2.694225e-07
127 1.828559e-01 -2.009169e-03 5.513710e-05 2.696361e-07
128 1.817420e-01 -2.001903e-03 5.458348e-05 2.698548e-07
129 1.806413e-01 -1.993906e-03 5.401733e-05 2.700784e-07
130 1.795532e-01 -1.985189e-03 5.343916e-05 2.703072e-07
131 1.784772e-01 -1.975764e-03 5.284951e-05 2.705410e-07
132 1.774129e-01 -1.965642e-03 5.224891e-05 2.707800e-07
133 1.763598e-01 -1.954836e-03 5.163788e-05 2.710241e-07
134 1.753173e-01 -1.943357e-03 5.101696e-05 2.712735e-07
135 1.742851e-01 -1.931218e-03 5.038668e-05 2.715281e-07
136 1.732625e-01 -1.918431e-03 4.974756e-05 2.717880e-07
137 1.722491e-01 -1.905006e-03 4.910014e-05 2.720533e-07
138 1.712445e-01 -1.890957e-03 4.844495e-05 2.723239e-07
139 1.702481e-01 -1.876295e-03 4.778252e-05 2.726000e-07
140 1.692595e-01 -1.861033e-03 4.711337e-05 2.728816e-07
141 1.682781e-01 -1.845181e-03 4.643805e-05 2.731686e-07
142 1.673034e-01 -1.828753e-03 4.575707e-05 2.734612e-07
143 1.663351e-01 -1.811759e-03 4.507098e-05 2.737594e-07
144 1.653725e-01 -1.794213e-03 4.438030e-05 2.740631e-07
145 1.644155e-01 -1.776125e-03 4.368558e-05 2.743724e-07
146 1.634638e-01 -1.757510e-03 4.298736e-05 2.746869e-07
147 1.625172e-01 -1.738379e-03 4.228620e-05 2.750065e-07
148 1.615753e-01 -1.718745e-03 4.158263e-05 2.753311e-07
149 1.606379e-01 -1.698620e-03 4.087721e-05 2.756604e-07
150 1.597048e-01 -1.678018e-03 4.017048e-05 2.759943e-07
151 1.587758e-01 -1.656950e-03 3.946299e-05 2.763327e-07
152 1.578505e-01 -1.635428e-03 3.875529e-05 2.766753e-07
153 1.569288e-01 -1.613467e-03 3.804792e-05 2.770221e-07
154 1.560103e-01 -1.591077e-03 3.734143e-05 2.773727e-07
155 1.550948e-01 -1.568272e-03 3.663637e-05 2.777271e-07
156 1.541822e-01 -1.545064e-03 3.593328e-05 2.780850e-07
157 1.532720e-01 -1.521465e-03 3.523271e-05 2.784464e-07
158 1.523641e-01 -1.497489e-03 3.453522e-05 2.788110e-07
159 1.514582e-01 -1.473147e-03 3.384133e-05 2.791786e-07
160 1.505541e-01 -1.448452e-03 3.315161e-05 2.795492e-07
161 1.496515e-01 -1.423417e-03 3.246659e-05 2.799225e-07
162 1.487504e-01 -1.398053e-03 3.178675e-05 2.802983e-07
163 1.478505e-01 -1.372374e-03 3.111257e-05 2.806765e-07
164 1.469520e-01 -1.346392e-03 3.044453e-05 2.810570e-07
165 1.460545e-01 -1.320118e-03 2.978310e-05 2.814396e-07
166 1.451582e-01 -1.293566e-03 2.912876e-05 2.818242e-07
167 1.442628e-01 -1.266747e-03 2.848198e-05 2.822105e-07
168 1.433683e-01 -1.239674e-03 2.784324e-05 2.825984e-07
169 1.424745e-01 -1.212359e-03 2.721301e-05 2.829879e-07
170 1.415815e-01 -1.184815e-03 2.659177e-05 2.833786e-07
171 1.406891e-01 -1.157053e-03 2.598000e-05 2.837705e-07
172 1.397972e-01 -1.129087e-03 2.537817e-05 2.841634e-07
173 1.389057e-01 -1.100928e-03 2.478676e-05 2.845572e-07
174 1.380146e-01 -1.072589e-03 2.420624e-05 2.849517e-07
175 1.371237e-01 -1.044082e-03 2.363709e-05 2.853467e-07
176 1.362330e-01 -1.015420e-03 2.307978e-05 2.857421e-07
177 1.353424e-01 -9.866141e-04 2.253479e-05 2.861377e-07
178 1.344517e-01 -9.576776e-04 2.200259e-05 2.865334e-07
179 1.335609e-01 -9.286224e-04 2.148367e-05 2.869291e-07
180 1.326699e-01 -8.994607e-04 2.097847e-05 2.873244e-07
181 1.317788e-01 -8.702035e-04 2.048731e-05 2.877194e-07
182 1.308875e-01 -8.408615e-04 2.001051e-05 2.881137e-07
183 1.299959e-01 -8.114455e-04 1.954837e-05 2.885071e-07
184 1.291043e-01 -7.819661e-04 1.910120e-05 2.888996e-07
185 1.282125e-01 -7.524341e-04 1.866930e-05 2.892907e-07
186 1.273205e-01 -7.228602e-04 1.825296e-05 2.896805e-07
187 1.264285e-01 -6.932553e-04 1.785251e-05 2.900686e-07
188 1.255363e-01 -6.636299e-04 1.746824e-05 2.904548e-07
189 1.246440e-01 -6.339949e-04 1.710046e-05 2.908390e-07
190 1.237517e-01 -6.043609e-04 1.674946e-05 2.912209e-07
191 1.228592e-01 -5.747388e-04 1.641557e-05 2.916004e-07
192 1.219667e-01 -5.451391e-04 1.609907e-05 2.919773e-07
193 1.210742e-01 -5.155728e-04 1.580028e-05 2.923513e-07
194 1.201816e-01 -4.860504e-04 1.551950e-05 2.927222e-07
195 1.192889e-01 -4.565828e-04 1.525704e-05 2.930899e-07
196 1.183963e-01 -4.271806e-04 1.501319e-05 2.934541e-07
197 1.175036e-01 -3.978547e-04 1.478827e-05 2.938147e-07
198 1.166110e-01 -3.686156e-04 1.458257e-05 2.941714e-07
199 1.157183e-01 -3.394743e-04 1.439641e-05 2.945241e-07
200 1.148257e-01 -3.104413e-04 1.423008e-05 2.948725e-07
201 1.139331e-01 -2.815270e-04 1.408385e-05 2.952164e-07
202 1.130406e-01 -2.527396e-04 1.395783e-05 2.955557e-07
203 1.121483e-01 -2.240871e-04 1.385207e-05 2.958902e-07
204 1.112563e-01 -1.955773e-04 1.376662e-05 2.962197e-07
205 1.103645e-01 -1.672181e-04 1.370157e-05 2.965441e-07
206 1.094731e-01 -1.390174e-04 1.365695e-05 2.968631e-07
207 1.085821e-01 -1.109829e-04 1.363283e-05 2.971766e-07
208 1.076916e-01 -8.312256e-05 1.362928e-05 2.974844e-07
209 1.068016e-01 -5.544426e-05 1.364635e-05 2.977864e-07
210 1.059123e-01 -2.795583e-05 1.368410e-05 2.980824e-07
211 1.050236e-01 -6.651468e-07 1.374260e-05 2.983721e-07
212 1.041357e-01 2.641994e-05 1.382190e-05 2.986555e-07
213 1.032486e-01 5.329155e-05 1.392206e-05 2.989324e-07
214 1.023624e-01 7.994185e-05 1.404315e-05 2.992025e-07
215 1.014772e-01 1.063630e-04 1.418522e-05 2.994657e-07
216 1.005929e-01 1.325470e-04 1.434833e-05 2.997219e-07
217 9.970970e-02 1.584862e-04 1.453255e-05 2.999708e-07
218 9.882764e-02 1.841725e-04 1.473793e-05 3.002123e-07
219 9.794678e-02 2.095983e-04 1.496454e-05 3.004462e-07
220 9.706719e-02 2.347556e-04 1.521243e-05 3.006723e-07
221 9.618893e-02 2.596365e-04 1.548166e-05 3.008905e-07
222 9.531206e-02 2.842331e-04 1.577230e-05 3.011006e-07
223 9.443665e-02 3.085378e-04 1.608440e-05 3.013024e-07
224 9.356277e-02 3.325431e-04 1.641799e-05 3.014958e-07
225 9.269049e-02 3.562445e-04 1.677289e-05 3.016806e-07
226 9.181989e-02 3.796382e-04 1.714889e-05 3.018568e-07
227 9.095105e-02 4.027201e-04 1.754579e-05 3.020243e-07
228 9.008405e-02 4.254863e-04 1.796338e-05 3.021830e-07
229 8.921896e-02 4.479329e-04 1.840144e-05 3.023329e-07
230 8.835587e-02 4.700559e-04 1.885977e-05 3.024738e-07
231 8.749485e-02 4.918514e-04 1.933815e-05 3.026057e-07
232 8.663599e-02 5.133155e-04 1.983638e-05 3.027285e-07
233 8.577935e-02 5.344443e-04 2.035425e-05 3.028421e-07
234 8.492503e-02 5.552337e-04 2.089154e-05 3.029464e-07
235 8.407309e-02 5.756799e-04 2.144804e-05 3.030414e-07
236 8.322362e-02 5.957789e-04 2.202356e-05 3.031270e-07
237 8.237669e-02 6.155269e-04 2.261787e-05 3.032030e-07
238 8.153239e-02 6.349197e-04 2.323076e-05 3.032695e-07
239 8.069078e-02 6.539536e-04 2.386204e-05 3.033263e-07
240 7.985196e-02 6.726246e-04 2.451148e-05 3.033734e-07
241 7.901600e-02 6.909287e-04 2.517887e-05 3.034106e-07
242 7.818298e-02 7.088620e-04 2.586401e-05 3.034379e-07
243 7.735297e-02 7.264206e-04 2.656669e-05 3.034552e-07
244 7.652606e-02 7.436005e-04 2.728670e-05 3.034625e-07
245 7.570231e-02 7.603978e-04 2.802383e-05 3.034595e-07
246 7.488183e-02 7.768086e-04 2.877786e-05 3.034464e-07
247 7.406467e-02 7.928289e-04 2.954859e-05 3.034229e-07
248 7.325092e-02 8.084548e-04 3.033580e-05 3.033891e-07
249 7.244066e-02 8.236823e-04 3.113930e-05 3.033448e-07
250 7.163396e-02 8.385083e-04 3.195882e-05 3.032899e-07
251 7.083089e-02 8.529324e-04 3.279400e-05 3.032245e-07
252 7.003151e-02 8.669550e-04 3.364440e-05 3.031486e-07
253 6.923588e-02 8.805764e-04 3.450961e-05 3.030623e-07
254 6.844407e-02 8.937971e-04 3.538920e-05 3.029656e-07
255 6.765613e-02 9.066175e-04 3.628276e-05 3.028584e-07
256 6.687214e-02 9.190379e-04 3.718987e-05 3.027409e-07
257 6.609214e-02 9.310587e-04 3.811010e-05 3.026131e-07
258 6.531621e-02 9.426804e-04 3.904304e-05 3.024750e-07
259 6.454441e-02 9.539032e-04 3.998826e-05 3.023266e-07
260 6.377680e-02 9.647276e-04 4.094535e-05 3.021680e-07
261 6.301343e-02 9.751540e-04 4.191388e-05 3.019993e-07
262 6.225438e-02 9.851828e-04 4.289344e-05 3.018203e-07
263 6.149971e-02 9.948143e-04 4.388360e-05 3.016313e-07
264 6.074947e-02 1.004049e-03 4.488395e-05 3.014321e-07
265 6.000374e-02 1.012887e-03 4.589406e-05 3.012229e-07
266 5.926256e-02 1.021329e-03 4.691351e-05 3.010037e-07
267 5.852601e-02 1.029376e-03 4.794189e-05 3.007745e-07
268 5.779415e-02 1.037027e-03 4.897877e-05 3.005354e-07
269 5.706704e-02 1.044283e-03 5.002373e-05 3.002863e-07
270 5.634474e-02 1.051144e-03 5.107635e-05 3.000273e-07
